Name,mean(Confidence)
Vessel,88.93904607436237
Walkway,68.34939320882161
Warplane,82.00736045837402
Water,77.44915335518974
Watercraft,88.93904607436237
Waterfront,81.02003751482282
Weapon,77.22046490373283
Weaponry,77.22046490373283
Weather,77.58913167317708
Wheel,79.17654184194711
Word,73.83146667480469
